product_id,store_id,stock_level,last_updated,supplier_id
PROD1300,STORE120,111,2023-03-08,SUP277
PROD1093,STORE159,347,2023-01-13,SUP293
PROD1389,STORE158,162,2023-11-18,SUP246
PROD1259,STORE123,414,2023-04-25,SUP271
PROD1247,STORE175,92,2023-02-05,SUP173
PROD1352,STORE186,327,2024-12-02,SUP129
PROD1484,STORE191,97,2023-03-01,SUP162
PROD1162,STORE170,234,2023-08-05,SUP221
PROD1300,STORE143,262,2023-05-11,SUP142
PROD1263,STORE156,301,2023-08-17,SUP265
PROD1134,STORE198,453,2024-02-16,SUP276
PROD1152,STORE130,303,2023-03-27,SUP194
PROD1433,STORE195,72,2023-10-04,SUP244
PROD1417,STORE101,253,2024-09-26,SUP245
PROD1109,STORE116,153,2024-07-26,SUP250
PROD1099,STORE133,431,2025-07-22,SUP242
PROD1038,STORE176,247,2023-05-30,SUP191
PROD1314,STORE170,87,2025-06-24,SUP155
PROD1247,STORE173,316,2025-05-14,SUP145
PROD1273,STORE132,232,2025-06-30,SUP157
PROD1368,STORE101,295,2024-02-22,SUP280
PROD1480,STORE191,317,2025-02-24,SUP103
PROD1371,STORE169,423,2023-02-08,SUP225
PROD1104,STORE110,390,2025-03-20,SUP295
PROD1187,STORE128,232,2024-06-01,SUP293
PROD1096,STORE176,232,2023-08-06,SUP266
PROD1470,STORE175,254,2023-06-23,SUP107
PROD1402,STORE120,233,2024-05-03,SUP151
PROD1101,STORE198,477,2023-01-02,SUP150
PROD1455,STORE159,54,2023-05-26,SUP262
PROD1172,STORE111,127,2023-12-17,SUP299
PROD1058,STORE139,9,2023-12-10,SUP136
PROD1252,STORE183,180,2024-12-03,SUP278
PROD1207,STORE134,388,2024-03-23,SUP212
PROD1153,STORE108,388,2023-12-05,SUP152
PROD1154,STORE169,310,2024-12-03,SUP253
PROD1194,STORE164,288,2024-12-07,SUP131
PROD1492,STORE127,225,2024-10-19,SUP155
PROD1248,STORE174,313,2025-04-09,SUP239
PROD1205,STORE133,158,2024-04-11,SUP149
PROD1256,STORE145,121,2025-01-22,SUP267
PROD1019,STORE137,398,2023-11-29,SUP254
PROD1011,STORE199,386,2024-10-28,SUP176
PROD1197,STORE168,66,2025-01-03,SUP225
PROD1260,STORE158,340,2023-12-08,SUP273
PROD1305,STORE152,280,2024-12-06,SUP199
PROD1208,STORE146,51,2025-04-25,SUP282
PROD1260,STORE106,129,2024-06-05,SUP151
PROD1187,STORE128,198,2023-01-14,SUP119
PROD1254,STORE187,191,2025-07-12,SUP147
PROD1023,STORE168,495,2024-07-17,SUP230
PROD1071,STORE170,87,2024-08-22,SUP125
PROD1474,STORE196,486,2024-06-18,SUP195
PROD1185,STORE131,470,2023-07-14,SUP119
PROD1411,STORE142,362,2023-08-31,SUP111
PROD1476,STORE162,311,2024-01-29,SUP121
PROD1440,STORE170,26,2023-06-25,SUP160
PROD1367,STORE117,445,2023-05-13,SUP257
PROD1075,STORE138,166,2024-02-10,SUP102
PROD1490,STORE168,308,2023-02-07,SUP147
PROD1257,STORE113,65,2023-02-18,SUP198
PROD1085,STORE107,125,2025-02-28,SUP280
PROD1430,STORE193,464,2024-08-02,SUP120
PROD1238,STORE121,499,2024-02-20,SUP165
PROD1415,STORE103,314,2023-09-16,SUP299
PROD1101,STORE131,361,2024-04-18,SUP266
PROD1498,STORE142,258,2023-09-01,SUP245
PROD1148,STORE179,477,2024-11-27,SUP134
PROD1340,STORE130,397,2023-02-21,SUP133
PROD1155,STORE136,220,2024-02-25,SUP264
PROD1172,STORE184,355,2024-02-26,SUP130
PROD1099,STORE196,366,2024-03-30,SUP223
PROD1341,STORE157,322,2023-02-28,SUP257
PROD1241,STORE165,265,2024-02-01,SUP145
PROD1215,STORE164,186,2023-08-06,SUP150
PROD1234,STORE182,38,2024-02-21,SUP110
PROD1041,STORE123,160,2024-03-05,SUP253
PROD1059,STORE133,304,2025-01-10,SUP247
PROD1236,STORE108,367,2023-01-21,SUP209
PROD1029,STORE184,456,2024-05-17,SUP168
PROD1477,STORE106,282,2023-08-14,SUP167
PROD1075,STORE124,234,2023-05-13,SUP159
PROD1177,STORE133,317,2024-10-22,SUP299
PROD1315,STORE105,0,2025-06-18,SUP245
PROD1335,STORE114,435,2024-10-27,SUP262
PROD1111,STORE183,359,2023-03-22,SUP265
PROD1410,STORE126,317,2025-06-13,SUP241
PROD1264,STORE135,176,2025-03-09,SUP211
PROD1467,STORE190,27,2023-03-16,SUP248
PROD1221,STORE150,110,2025-01-27,SUP156
PROD1108,STORE165,431,2023-03-13,SUP109
PROD1167,STORE163,19,2023-12-31,SUP182
PROD1077,STORE120,278,2023-03-13,SUP110
PROD1342,STORE167,28,2025-01-17,SUP215
PROD1049,STORE136,241,2023-02-13,SUP113
PROD1094,STORE134,116,2023-03-22,SUP142
PROD1463,STORE145,471,2024-07-28,SUP208
PROD1314,STORE127,80,2023-07-08,SUP247
PROD1362,STORE167,409,2023-11-16,SUP248
PROD1273,STORE131,92,2023-05-28,SUP105
PROD1326,STORE155,215,2024-04-30,SUP122
PROD1473,STORE160,31,2023-09-04,SUP158
PROD1254,STORE193,243,2023-07-31,SUP165
PROD1265,STORE105,206,2024-11-19,SUP143
PROD1087,STORE110,224,2023-08-21,SUP140
PROD1217,STORE146,124,2023-11-28,SUP186
PROD1223,STORE191,6,2024-09-12,SUP249
PROD1146,STORE122,139,2024-12-01,SUP134
PROD1169,STORE146,36,2024-01-06,SUP128
PROD1424,STORE132,274,2024-12-29,SUP104
PROD1328,STORE130,160,2023-03-18,SUP210
PROD1428,STORE181,447,2023-09-17,SUP212
PROD1425,STORE133,238,2025-02-25,SUP293
PROD1464,STORE185,196,2024-10-05,SUP299
PROD1150,STORE158,334,2024-08-05,SUP202
PROD1448,STORE170,178,2024-05-30,SUP271
PROD1123,STORE146,398,2024-05-23,SUP253
PROD1304,STORE141,45,2023-04-25,SUP108
PROD1042,STORE171,61,2023-05-05,SUP287
PROD1216,STORE121,409,2023-05-08,SUP162
PROD1395,STORE158,218,2024-02-06,SUP265
PROD1029,STORE104,250,2023-09-11,SUP162
PROD1387,STORE103,322,2025-05-10,SUP121
PROD1197,STORE159,156,2023-11-14,SUP292
PROD1164,STORE154,338,2024-06-13,SUP266
PROD1060,STORE118,253,2023-07-08,SUP233
PROD1096,STORE172,394,2023-10-13,SUP209
PROD1088,STORE129,37,2024-04-29,SUP207
PROD1485,STORE107,419,2024-03-14,SUP124
PROD1081,STORE195,338,2023-08-04,SUP148
PROD1372,STORE158,162,2024-12-29,SUP287
PROD1235,STORE160,239,2024-05-22,SUP282
PROD1306,STORE125,113,2024-08-06,SUP256
PROD1489,STORE163,14,2024-11-13,SUP196
PROD1378,STORE191,245,2025-04-06,SUP134
PROD1388,STORE162,180,2024-03-26,SUP195
PROD1387,STORE124,123,2024-01-26,SUP201
PROD1491,STORE192,140,2023-01-04,SUP224
PROD1250,STORE198,166,2025-04-04,SUP270
PROD1117,STORE185,276,2023-05-29,SUP258
PROD1358,STORE166,390,2024-01-09,SUP114
PROD1384,STORE122,19,2024-07-23,SUP142
PROD1230,STORE130,447,2024-09-18,SUP293
PROD1350,STORE179,397,2023-10-15,SUP127
PROD1304,STORE149,270,2025-05-22,SUP200
PROD1401,STORE193,412,2025-04-18,SUP246
PROD1448,STORE136,269,2025-02-28,SUP296
PROD1495,STORE183,260,2023-04-14,SUP223
PROD1356,STORE146,27,2023-08-16,SUP176
PROD1206,STORE146,396,2023-01-20,SUP256
PROD1303,STORE141,82,2023-09-15,SUP102
PROD1429,STORE150,388,2023-07-06,SUP204
PROD1381,STORE145,348,2024-09-26,SUP127
PROD1039,STORE149,376,2024-08-09,SUP242
PROD1266,STORE111,408,2023-11-09,SUP285
PROD1222,STORE116,199,2023-06-26,SUP150
PROD1074,STORE131,52,2023-07-20,SUP262
PROD1315,STORE146,425,2024-01-02,SUP257
PROD1265,STORE178,81,2023-10-16,SUP166
PROD1228,STORE166,257,2025-07-08,SUP266
PROD1128,STORE177,375,2023-02-09,SUP207
PROD1043,STORE174,488,2023-03-26,SUP264
PROD1131,STORE130,332,2025-05-08,SUP150
PROD1301,STORE121,158,2024-12-11,SUP113
PROD1418,STORE121,259,2025-01-17,SUP123
PROD1111,STORE150,402,2025-05-08,SUP240
PROD1322,STORE165,399,2025-07-21,SUP151
PROD1314,STORE119,436,2025-03-27,SUP289
PROD1019,STORE132,196,2024-04-11,SUP299
PROD1124,STORE188,189,2024-06-03,SUP117
PROD1487,STORE155,410,2025-02-04,SUP253
PROD1433,STORE173,436,2023-02-28,SUP136
PROD1279,STORE147,464,2023-01-15,SUP190
PROD1486,STORE103,293,2023-03-30,SUP137
PROD1226,STORE158,85,2025-02-17,SUP105
PROD1452,STORE114,305,2024-07-08,SUP179
PROD1203,STORE131,225,2023-01-13,SUP287
PROD1451,STORE195,139,2023-08-14,SUP143
PROD1066,STORE191,200,2025-07-20,SUP130
PROD1242,STORE128,57,2023-05-16,SUP190
PROD1467,STORE135,161,2024-08-24,SUP171
PROD1320,STORE192,358,2023-01-27,SUP140
PROD1413,STORE124,424,2024-01-01,SUP230
PROD1112,STORE153,383,2024-11-05,SUP182
PROD1261,STORE106,127,2023-06-25,SUP132
PROD1365,STORE191,269,2023-01-06,SUP115
PROD1126,STORE104,426,2023-05-01,SUP199
PROD1415,STORE120,180,2024-08-08,SUP276
PROD1410,STORE114,30,2024-01-17,SUP257
PROD1398,STORE144,19,2023-05-01,SUP114
PROD1174,STORE155,274,2025-05-13,SUP287
PROD1157,STORE172,430,2024-07-19,SUP267
PROD1375,STORE148,446,2025-04-04,SUP185
PROD1107,STORE194,224,2023-05-13,SUP291
PROD1399,STORE152,97,2024-10-10,SUP203
PROD1405,STORE155,279,2024-06-22,SUP188
PROD1409,STORE113,250,2024-07-19,SUP129
PROD1494,STORE118,313,2024-12-26,SUP216
PROD1434,STORE114,136,2023-12-10,SUP238
PROD1420,STORE142,20,2024-11-30,SUP238
PROD1392,STORE199,474,2023-08-27,SUP235
PROD1234,STORE100,387,2025-06-24,SUP238
PROD1062,STORE167,447,2023-02-12,SUP220
PROD1238,STORE198,160,2025-03-03,SUP297
PROD1262,STORE109,33,2025-06-15,SUP294
PROD1274,STORE140,402,2025-07-19,SUP234
PROD1277,STORE190,434,2025-04-24,SUP285
PROD1359,STORE154,236,2024-10-19,SUP247
PROD1077,STORE111,323,2025-01-29,SUP224
PROD1141,STORE141,173,2023-01-30,SUP279
PROD1311,STORE168,449,2023-11-02,SUP134
PROD1417,STORE154,406,2024-05-17,SUP274
PROD1233,STORE184,126,2024-04-29,SUP274
PROD1333,STORE103,447,2023-02-28,SUP284
PROD1250,STORE130,485,2025-02-22,SUP145
PROD1080,STORE118,459,2023-02-10,SUP239
PROD1062,STORE148,231,2025-06-21,SUP226
PROD1259,STORE191,497,2024-03-11,SUP299
PROD1177,STORE162,57,2024-07-11,SUP192
PROD1348,STORE137,290,2024-01-04,SUP183
PROD1226,STORE111,429,2025-01-17,SUP254
PROD1296,STORE169,325,2024-02-24,SUP101
PROD1023,STORE106,398,2025-02-15,SUP183
PROD1348,STORE194,168,2024-10-12,SUP195
PROD1485,STORE156,78,2023-06-29,SUP126
PROD1026,STORE124,223,2023-03-26,SUP202
PROD1227,STORE181,69,2023-07-27,SUP288
PROD1363,STORE131,475,2024-06-14,SUP267
PROD1212,STORE161,102,2023-08-11,SUP240
PROD1433,STORE138,358,2024-05-19,SUP222
PROD1273,STORE138,282,2025-07-23,SUP103
PROD1438,STORE105,473,2023-06-28,SUP151
PROD1125,STORE187,169,2025-05-23,SUP162
PROD1195,STORE144,378,2024-07-06,SUP116
PROD1499,STORE143,311,2025-04-19,SUP206
PROD1252,STORE154,488,2023-04-26,SUP137
PROD1445,STORE106,68,2023-04-13,SUP250
PROD1242,STORE169,309,2025-06-20,SUP255
PROD1030,STORE108,388,2025-06-26,SUP124
PROD1002,STORE109,141,2024-03-24,SUP116
PROD1155,STORE160,323,2023-05-27,SUP269
PROD1232,STORE172,231,2023-01-24,SUP129
PROD1234,STORE147,388,2024-08-19,SUP221
PROD1119,STORE163,139,2023-06-06,SUP128
PROD1271,STORE132,357,2023-07-23,SUP222
PROD1395,STORE138,489,2025-05-27,SUP241
PROD1371,STORE104,101,2023-09-17,SUP112
PROD1175,STORE107,379,2024-12-24,SUP299
PROD1398,STORE140,6,2023-11-15,SUP240
PROD1425,STORE158,304,2023-08-15,SUP159
PROD1049,STORE191,32,2024-04-30,SUP194
PROD1258,STORE171,225,2024-08-20,SUP128
PROD1106,STORE154,125,2025-01-25,SUP137
PROD1434,STORE181,91,2023-11-27,SUP213
PROD1023,STORE150,264,2023-10-17,SUP263
PROD1103,STORE183,233,2023-06-08,SUP234
PROD1445,STORE104,254,2025-04-16,SUP259
PROD1310,STORE154,255,2023-03-15,SUP169
PROD1167,STORE114,293,2024-02-04,SUP244
PROD1175,STORE198,385,2025-02-15,SUP107
PROD1130,STORE107,488,2023-01-12,SUP268
PROD1051,STORE106,104,2024-06-25,SUP271
PROD1336,STORE103,389,2025-02-22,SUP175
PROD1342,STORE102,359,2025-06-12,SUP152
PROD1356,STORE115,71,2024-05-17,SUP126
PROD1140,STORE153,364,2023-08-27,SUP189
PROD1388,STORE191,479,2025-02-24,SUP209
PROD1020,STORE134,433,2023-03-02,SUP209
PROD1003,STORE150,147,2023-02-11,SUP132
PROD1276,STORE106,332,2024-11-04,SUP244
PROD1361,STORE134,42,2024-02-10,SUP264
PROD1416,STORE155,309,2023-04-06,SUP195
PROD1163,STORE111,376,2024-08-13,SUP173
PROD1418,STORE166,489,2024-09-25,SUP235
PROD1427,STORE143,316,2025-07-27,SUP193
PROD1082,STORE165,68,2024-05-20,SUP288
PROD1144,STORE125,141,2024-05-31,SUP150
PROD1249,STORE124,462,2023-12-11,SUP234
PROD1102,STORE123,54,2024-11-21,SUP225
PROD1382,STORE107,102,2024-08-08,SUP243
PROD1281,STORE104,257,2024-04-18,SUP270
PROD1245,STORE160,456,2024-01-18,SUP279
PROD1426,STORE131,148,2023-11-21,SUP113
PROD1011,STORE108,179,2023-07-31,SUP259
PROD1202,STORE113,454,2025-02-11,SUP282
PROD1446,STORE142,452,2023-02-12,SUP273
PROD1180,STORE186,78,2025-03-01,SUP168
PROD1148,STORE135,182,2024-10-08,SUP290
PROD1437,STORE194,377,2023-01-22,SUP199
PROD1306,STORE124,37,2023-08-03,SUP130
PROD1003,STORE106,373,2023-12-06,SUP284
PROD1358,STORE100,76,2025-02-24,SUP255
PROD1454,STORE155,275,2023-11-17,SUP132
PROD1332,STORE140,254,2024-11-13,SUP142
PROD1247,STORE189,248,2023-08-21,SUP225
PROD1497,STORE124,441,2024-07-16,SUP290
PROD1372,STORE146,144,2024-04-22,SUP196
PROD1402,STORE175,454,2023-12-13,SUP156
PROD1201,STORE103,321,2023-12-05,SUP188
PROD1419,STORE133,400,2023-06-10,SUP178
PROD1443,STORE113,108,2023-06-04,SUP186
PROD1110,STORE153,170,2025-02-07,SUP135
PROD1032,STORE122,313,2024-08-27,SUP249
PROD1307,STORE121,103,2023-06-05,SUP209
PROD1093,STORE154,481,2024-09-16,SUP120
PROD1495,STORE114,259,2023-12-10,SUP118
PROD1216,STORE193,420,2023-08-10,SUP213
PROD1039,STORE187,174,2025-07-03,SUP126
PROD1488,STORE199,22,2024-01-22,SUP234
PROD1435,STORE116,239,2025-03-06,SUP126
PROD1415,STORE133,287,2025-07-27,SUP261
PROD1397,STORE158,61,2023-12-26,SUP236
PROD1138,STORE136,462,2024-03-13,SUP120
PROD1219,STORE101,289,2025-02-12,SUP156
PROD1313,STORE142,95,2024-01-10,SUP177
PROD1079,STORE129,481,2024-10-12,SUP225
PROD1109,STORE171,329,2024-12-17,SUP273
PROD1338,STORE107,154,2025-05-22,SUP241
PROD1407,STORE169,273,2024-01-15,SUP109
PROD1414,STORE112,63,2025-03-02,SUP242
PROD1250,STORE128,338,2023-12-10,SUP288
PROD1369,STORE121,450,2023-01-02,SUP283
PROD1422,STORE142,398,2023-01-12,SUP177
PROD1408,STORE116,50,2023-02-10,SUP280
PROD1001,STORE163,242,2024-01-22,SUP111
PROD1344,STORE173,497,2025-06-06,SUP129
PROD1187,STORE191,256,2024-08-17,SUP113
PROD1188,STORE134,103,2024-06-07,SUP241
PROD1262,STORE137,160,2024-01-28,SUP234
PROD1199,STORE177,492,2024-12-15,SUP281
PROD1474,STORE122,288,2025-05-07,SUP147
PROD1322,STORE158,388,2024-11-02,SUP106
PROD1291,STORE113,84,2024-06-11,SUP256
PROD1438,STORE182,178,2024-10-14,SUP296
PROD1154,STORE103,111,2025-02-03,SUP297
PROD1470,STORE180,347,2025-04-04,SUP110
PROD1095,STORE188,198,2024-07-17,SUP217
PROD1391,STORE100,62,2023-06-17,SUP173
PROD1419,STORE153,33,2023-09-04,SUP199
PROD1110,STORE114,361,2023-08-30,SUP234
PROD1190,STORE171,129,2024-12-08,SUP211
PROD1360,STORE101,10,2023-10-30,SUP238
PROD1007,STORE151,96,2023-07-28,SUP299
PROD1192,STORE164,111,2024-12-26,SUP200
PROD1361,STORE154,250,2023-05-02,SUP272
PROD1330,STORE103,446,2024-09-19,SUP121
PROD1158,STORE136,194,2025-03-19,SUP274
PROD1219,STORE139,357,2023-01-12,SUP276
PROD1150,STORE102,435,2024-04-29,SUP180
PROD1240,STORE191,107,2024-04-20,SUP128
PROD1385,STORE190,305,2025-03-26,SUP210
PROD1343,STORE192,286,2023-09-28,SUP228
PROD1227,STORE161,136,2024-02-10,SUP246
PROD1459,STORE155,50,2023-09-27,SUP105
PROD1349,STORE126,427,2024-02-24,SUP228
PROD1397,STORE128,49,2024-03-23,SUP134
PROD1131,STORE120,131,2024-03-13,SUP223
PROD1340,STORE127,356,2023-12-26,SUP268
PROD1474,STORE101,78,2023-04-05,SUP200
PROD1026,STORE163,404,2025-06-07,SUP142
PROD1456,STORE111,43,2024-06-26,SUP213
PROD1383,STORE145,231,2023-02-17,SUP276
PROD1041,STORE146,383,2023-09-28,SUP127
PROD1410,STORE160,20,2023-09-28,SUP205
PROD1077,STORE155,109,2025-07-23,SUP266
PROD1121,STORE152,458,2025-04-06,SUP172
PROD1192,STORE171,475,2023-04-06,SUP242
PROD1141,STORE109,453,2024-09-16,SUP181
PROD1138,STORE118,126,2025-05-19,SUP153
PROD1167,STORE122,445,2024-03-09,SUP273
PROD1359,STORE154,255,2024-09-25,SUP130
PROD1179,STORE189,186,2024-04-12,SUP220
PROD1436,STORE184,90,2023-12-24,SUP181
PROD1299,STORE195,299,2025-01-15,SUP122
PROD1131,STORE129,489,2024-07-04,SUP188
PROD1061,STORE105,354,2024-07-12,SUP254
PROD1044,STORE100,58,2024-07-09,SUP144
PROD1325,STORE190,382,2023-10-28,SUP177
PROD1305,STORE175,322,2024-07-27,SUP106
PROD1183,STORE161,181,2025-06-24,SUP260
PROD1175,STORE149,39,2024-03-17,SUP205
PROD1128,STORE152,26,2024-07-30,SUP293
PROD1436,STORE151,492,2023-09-12,SUP239
PROD1143,STORE116,320,2023-03-10,SUP158
PROD1270,STORE139,217,2024-04-27,SUP172
PROD1496,STORE119,496,2025-01-22,SUP251
PROD1440,STORE189,324,2025-07-16,SUP100
PROD1121,STORE147,302,2023-03-27,SUP199
PROD1314,STORE188,93,2025-03-12,SUP134
PROD1022,STORE190,226,2023-11-16,SUP124
PROD1314,STORE163,380,2024-05-23,SUP164
PROD1241,STORE182,299,2023-06-19,SUP242
PROD1380,STORE115,424,2023-06-20,SUP288
PROD1463,STORE195,441,2023-11-19,SUP148
PROD1232,STORE197,306,2023-10-28,SUP234
PROD1145,STORE140,495,2024-11-21,SUP138
PROD1146,STORE114,35,2023-12-10,SUP163
PROD1396,STORE191,51,2025-05-06,SUP108
PROD1163,STORE145,244,2025-07-12,SUP191
PROD1200,STORE172,242,2024-09-30,SUP189
PROD1060,STORE154,393,2023-11-16,SUP136
PROD1495,STORE173,406,2025-02-28,SUP263
PROD1495,STORE173,374,2024-09-12,SUP223
PROD1044,STORE175,234,2023-07-15,SUP206
PROD1189,STORE169,213,2023-08-21,SUP153
PROD1454,STORE191,8,2024-08-29,SUP256
PROD1033,STORE181,476,2024-02-15,SUP290
PROD1003,STORE185,468,2023-06-05,SUP124
PROD1136,STORE196,418,2023-08-28,SUP143
PROD1037,STORE176,447,2025-07-27,SUP278
PROD1210,STORE120,289,2023-04-23,SUP258
PROD1099,STORE152,442,2025-01-07,SUP231
PROD1307,STORE104,67,2023-01-06,SUP274
PROD1273,STORE184,252,2023-03-13,SUP216
PROD1116,STORE119,226,2024-12-03,SUP186
PROD1167,STORE185,124,2024-09-28,SUP210
PROD1292,STORE159,256,2023-03-25,SUP184
PROD1227,STORE129,154,2023-03-23,SUP270
PROD1403,STORE179,183,2023-07-03,SUP266
PROD1473,STORE166,153,2024-05-19,SUP204
PROD1469,STORE121,39,2024-12-19,SUP234
PROD1016,STORE141,298,2025-02-08,SUP105
PROD1345,STORE188,93,2023-09-26,SUP247
PROD1131,STORE157,272,2024-12-15,SUP254
PROD1423,STORE110,349,2023-02-17,SUP102
PROD1266,STORE166,301,2025-04-27,SUP237
PROD1137,STORE140,350,2024-09-08,SUP212
PROD1101,STORE180,206,2023-05-09,SUP166
PROD1006,STORE172,17,2024-02-29,SUP144
PROD1159,STORE148,394,2023-05-13,SUP117
PROD1378,STORE190,116,2023-03-27,SUP116
PROD1094,STORE118,224,2025-06-24,SUP170
PROD1066,STORE123,64,2025-04-19,SUP265
PROD1072,STORE131,35,2024-10-01,SUP116
PROD1058,STORE110,156,2025-01-12,SUP121
PROD1493,STORE107,113,2024-12-14,SUP295
PROD1037,STORE100,184,2023-11-08,SUP103
PROD1482,STORE136,120,2023-09-22,SUP205
PROD1166,STORE147,265,2024-09-25,SUP263
PROD1106,STORE193,104,2024-08-25,SUP205
PROD1192,STORE115,462,2024-05-09,SUP211
PROD1145,STORE119,276,2025-04-12,SUP191
PROD1410,STORE165,210,2024-11-18,SUP111
PROD1144,STORE160,95,2024-10-07,SUP231
PROD1310,STORE122,284,2024-10-31,SUP141
PROD1319,STORE109,262,2024-10-26,SUP100
PROD1211,STORE158,120,2023-07-26,SUP225
PROD1350,STORE128,331,2023-03-28,SUP115
PROD1326,STORE110,341,2025-05-24,SUP225
PROD1052,STORE104,415,2024-07-30,SUP264
PROD1143,STORE156,367,2023-04-28,SUP230
PROD1332,STORE116,238,2025-01-08,SUP187
PROD1098,STORE193,334,2024-01-23,SUP245
PROD1002,STORE160,129,2023-04-10,SUP111
PROD1485,STORE128,439,2023-10-02,SUP267
PROD1314,STORE121,147,2023-05-31,SUP258
PROD1050,STORE114,58,2024-07-12,SUP104
PROD1257,STORE113,24,2023-07-26,SUP182
PROD1453,STORE178,235,2024-02-24,SUP164
PROD1105,STORE120,331,2023-09-09,SUP125
PROD1347,STORE179,51,2023-08-03,SUP120
PROD1218,STORE151,148,2025-02-26,SUP176
PROD1011,STORE163,41,2024-08-05,SUP152
PROD1271,STORE159,196,2023-04-19,SUP202
PROD1327,STORE104,184,2024-10-11,SUP225
PROD1397,STORE159,257,2024-04-17,SUP101
PROD1144,STORE170,159,2024-08-20,SUP239
PROD1257,STORE161,250,2023-07-31,SUP156
PROD1170,STORE150,386,2024-09-16,SUP112
PROD1291,STORE106,213,2024-09-18,SUP180
PROD1315,STORE143,194,2023-08-04,SUP224
PROD1003,STORE124,5,2024-07-27,SUP247
PROD1201,STORE110,257,2024-10-10,SUP273
PROD1005,STORE102,306,2024-10-24,SUP140
PROD1309,STORE105,272,2023-03-14,SUP183
PROD1340,STORE181,337,2024-09-08,SUP257
PROD1329,STORE185,399,2024-02-10,SUP283
PROD1020,STORE122,489,2024-08-18,SUP134
PROD1326,STORE126,214,2024-03-04,SUP227
PROD1253,STORE132,408,2025-04-28,SUP292
PROD1197,STORE117,484,2023-04-02,SUP179
PROD1257,STORE138,418,2024-01-10,SUP112
PROD1274,STORE164,339,2024-06-24,SUP134
PROD1282,STORE188,417,2024-12-18,SUP199
PROD1028,STORE165,37,2023-03-09,SUP102
PROD1047,STORE102,84,2025-04-08,SUP243
PROD1369,STORE120,273,2024-02-05,SUP291
PROD1065,STORE120,20,2023-01-25,SUP268
PROD1275,STORE176,438,2025-06-09,SUP217
PROD1119,STORE138,329,2023-06-16,SUP245
PROD1273,STORE177,338,2023-05-12,SUP190
PROD1061,STORE157,164,2024-10-02,SUP232
PROD1452,STORE135,126,2025-05-14,SUP221
PROD1246,STORE194,276,2024-11-23,SUP127
PROD1195,STORE182,286,2023-03-24,SUP196
PROD1332,STORE163,346,2025-02-06,SUP228
PROD1413,STORE106,172,2024-12-30,SUP285
PROD1359,STORE157,112,2023-01-24,SUP168
PROD1214,STORE188,42,2024-01-23,SUP209
PROD1032,STORE182,225,2025-06-25,SUP183
PROD1299,STORE158,495,2024-05-23,SUP226
PROD1289,STORE131,319,2025-01-12,SUP160
PROD1062,STORE105,383,2024-03-03,SUP240
PROD1119,STORE188,123,2025-06-24,SUP274
PROD1484,STORE159,403,2025-02-12,SUP161
PROD1296,STORE172,267,2024-07-20,SUP252
PROD1492,STORE157,263,2023-11-23,SUP171
PROD1110,STORE197,229,2024-08-20,SUP158
PROD1196,STORE142,493,2023-06-03,SUP106
PROD1323,STORE115,447,2025-02-26,SUP272
PROD1125,STORE177,119,2023-07-25,SUP253
