store_id,store_name,location,manager
STORE111,Salem Store,East Bristoltown,Ruth Hill
STORE112,Lancaster Store,West Kingstontown,Emily Mitchell
STORE113,Ashland Store,West Troytown,Ruth Hill
STORE114,Troy Store,West Clayton,Lisa Clark
STORE115,Wayne Store,West Newport,William Rodriguez
STORE116,Bristol Store,East Riverside,Linda Davis
STORE117,Clinton Store,West Jacksontown,Andrew Scott
STORE118,Clinton Store,West Salem,Dorothy Parker
STORE119,Georgetown Store,East Riversidetown,Kimberly Roberts
STORE120,Ashland Store,East Ashland,Donald Young
STORE121,Richmond Store,East Waynetown,Anthony Lee
STORE122,Riverside Store,East Arlingtontown,William Rodriguez
STORE123,Jackson Store,East Troy,Emily Mitchell
STORE124,Chester Store,East Chester,Mary Johnson
STORE125,Milton Store,East Clintontown,Christopher Garcia
STORE126,Springfield Store,East Marion,George Turner
STORE127,Clayton Store,West Ashland,Lisa Clark
STORE128,Jackson Store,East Chester,Edward Campbell
STORE129,Kingston Store,West Springfield,Ronald Evans
STORE130,Milton Store,East Dover,Robert Williams
STORE131,Clinton Store,East Kingston,Donald Young
STORE132,Washington Store,East Riverside,Thomas Harris
STORE133,Clinton Store,West Newport,Jennifer Garcia
STORE134,Lancaster Store,East Springfield,Brian Perez
STORE135,Richmond Store,East Fairview,William Rodriguez
STORE136,Georgetown Store,East Clayton,Richard Taylor
STORE137,Greenwood Store,West Manchester,Nancy Martinez
STORE138,Oxford Store,West Claytontown,Joshua Adams
STORE139,Riverside Store,East Franklintown,William Rodriguez
STORE140,Fairview Store,East Springfield,Ruth Hill
STORE141,Burlington Store,East Wayne,Carol Wright
STORE142,Dover Store,East Auburn,Carol Wright
STORE143,Hudson Store,West Lancaster,Michelle Baker
STORE144,Arlington Store,East Kingston,Mark Hall
STORE145,Milton Store,East Fairview,Brian Perez
STORE146,Burlington Store,East Oxfordtown,Matthew Rodriguez
STORE147,Washington Store,West Riverside,Emily Mitchell
STORE148,Arlington Store,West Fairview,Donald Young
STORE149,Bristol Store,East Franklin,Helen Walker
STORE150,Oxford Store,East Chestertown,Edward Campbell
STORE151,Richmond Store,West Riverside,Laura Nelson
STORE152,Riverside Store,West Newport,Elizabeth Martinez
STORE153,Clinton Store,East Chester,William Rodriguez
STORE154,Franklin Store,East Georgetown,Andrew Scott
STORE155,Madison Store,East Hudson,Elizabeth Martinez
STORE156,Wayne Store,West Marion,Joseph Jackson
STORE157,Clayton Store,East Richmond,Sandra Allen
STORE158,Manchester Store,East Bristol,Paul Lopez
STORE159,Manchester Store,West Kingston,Daniel Robinson
STORE160,Bristol Store,East Madison,Kevin Carter
STORE161,Oxford Store,West Troy,Carol Wright
STORE162,Springfield Store,West Madisontown,Mary Johnson
STORE163,Oxford Store,West Greenwood,Deborah Phillips
STORE164,Marion Store,East Manchester,Nancy Martinez
STORE165,Salem Store,East Newport,Dorothy Parker
STORE166,Auburn Store,West Hudson,Ronald Evans
STORE167,Chester Store,East Wayne,Paul Lopez
STORE168,Burlington Store,West Burlington,Anthony Lee
STORE169,Hudson Store,West Riversidetown,Elizabeth Martinez
STORE170,Ashland Store,East Arlington,Robert Williams
STORE171,Burlington Store,West Kingston,Linda Davis
STORE172,Ashland Store,West Oxfordtown,Dorothy Parker
STORE173,Fairview Store,East Auburn,Edward Campbell
STORE174,Auburn Store,East Franklin,Joshua Adams
STORE175,Lancaster Store,West Marion,George Turner
STORE176,Troy Store,East Newporttown,George Turner
STORE177,Bristol Store,East Madison,Ruth Hill
STORE178,Clayton Store,East Clinton,Ronald Evans
STORE179,Bristol Store,West Madisontown,Michael Miller
STORE180,Manchester Store,West Waynetown,Susan Thomas
STORE181,Burlington Store,West Troytown,Jennifer Garcia
STORE182,Dover Store,East Hudson,George Turner
STORE183,Springfield Store,East Kingstontown,Christopher Garcia
STORE184,Salem Store,West Washington,Laura Nelson
STORE185,Madison Store,West Richmondtown,Anthony Lee
STORE186,Marion Store,East Burlingtontown,Robert Williams
STORE187,Dover Store,West Bristol,Thomas Harris
STORE188,Auburn Store,East Wayne,Joseph Jackson
STORE189,Salem Store,West Lancaster,Matthew Rodriguez
STORE190,Clinton Store,West Dover,Sarah Martin
STORE191,Madison Store,East Jackson,Michael Miller
