CID,BDATE,GEN
11141,1982-12-19,F
11142,1983-02-11,M
11143,1982-08-04,Male
11144,1985-03-08,Male
11145,1985-06-06,Female
11146,1945-02-22,Female
11147,1944-08-04,Male
11148,1947-02-13,Male
11149,1946-10-18,Male
11150,1946-09-12,Male
11151,1947-08-25,Female
11152,1981-07-09,Male
11153,1981-12-21,Female
11154,1982-02-18,Female
11155,1981-07-25,Male
11156,1981-08-06,Female
11157,1980-12-08,Female
11158,1981-04-06,Male
11159,1981-03-16,Female
11160,1979-07-08,Male
11161,1979-10-20,Female
11162,1979-09-02,Male
11163,1980-06-18,Male
11164,1979-11-02,Male
11165,1979-01-15,Female
11166,1977-10-22,Female
11167,1978-01-29,Female
11168,1973-11-12,Male
11169,1973-12-20,Male
11170,1973-08-04,Female
11171,1978-10-05,Male
11172,1973-05-20,Female
11173,1973-02-28,Female
11174,1973-01-09,Male
11175,1968-09-01,Male
11176,1979-01-21,Male
11177,1948-01-01,Male
11178,1954-08-20,Male
11179,1959-12-08,Female
11180,1948-07-01,Female
11181,1960-02-01,Male
11182,1950-02-22,Female
11183,1950-01-12,Female
11184,1955-11-13,Female
11185,1950-04-07,Female
11186,1949-11-18,Female
11187,1949-08-21,Female
11188,1950-03-06,Female
11189,1950-01-12,Male
11190,1949-12-20,Male
11191,1951-06-17,Female
11192,1951-03-13,Male
11193,1950-08-13,Male
11194,1950-12-08,Female
11195,1951-08-10,Female
11196,1951-12-05,Male
11197,1951-12-16,Female
11198,1952-05-25,Female
11199,1957-11-02,Female
11200,1953-05-21,Male
11201,1953-02-14,Female
11202,1958-08-22,Female
11203,1959-08-18,Male
11204,1953-11-29,Female
11205,1954-01-21,Female
11206,1954-03-24,Male
11207,1954-01-16,Female
11208,1953-08-03,Female
11209,1953-07-12,Female
11210,1953-12-06,Male
11211,1960-10-08,Female
11212,1955-05-05,Female
11213,1954-11-11,Female
11214,1955-05-07,Male
11215,1961-06-17,Female
11216,1955-11-17,Female
11217,1955-08-11,Female
11218,1961-09-07,Female
11219,1956-05-31,Male
11220,1961-02-19,Female
11221,1955-12-08,Male
11222,1956-02-14,Female
11223,1957-03-15,Female
11224,1957-03-05,Female
11225,1962-02-12,Female
11226,1962-09-23,Female
11227,1962-08-08,Male
11228,1956-10-16,Female
11229,1957-06-01,Male
11230,1956-09-30,Female
11231,1963-11-11,Male
11232,1958-03-27,Female
11233,1963-09-06,Male
11234,1958-05-19,Female
11235,1957-08-07,Male
11236,1957-09-02,Male
11237,1964-03-22,Male
11238,1964-02-07,Female
11239,1969-10-02,Female
11240,1964-06-09,Female
11241,1974-04-06,Female
11242,1963-05-11,Male
11243,1963-04-08,Female
11244,1968-11-22,Female
11245,1962-04-26,Male
11246,1962-04-08,Female
11247,1961-12-04,Female
11248,1966-03-22,Male
11249,1966-07-09,Female
11250,1966-03-08,Female
11251,1938-01-01,Male
11252,1937-12-05,Male
11253,1949-08-24,Male
11254,1938-08-31,Male
11255,1938-10-02,Male
11256,1939-03-20,Female
11257,2050-07-06,Female
11258,1938-12-26,Male
11259,1970-09-24,Female
11260,1976-04-08,Female
11261,1970-10-22,Female
11262,1975-05-01,Female
11263,1970-03-11,Female
11264,1969-12-15,Male
11265,1970-01-10,Female
11266,1969-11-02,Female
11267,1975-09-29,Male
11268,1969-10-31,Female
11269,1975-10-10,Male
11270,1975-05-01,Male
11271,1969-12-03,Female
11272,1962-05-10,Female
11273,1962-03-31,Male
11274,1939-10-10,Male
11275,1939-07-18,Female
11276,1974-09-15,Female
11277,1968-12-07,Male
11278,1969-02-16,Male
11279,1974-09-08,Female
11280,1969-02-17,Male
11281,1974-10-06,Female
11282,1967-07-16,Male
11283,1968-04-24,Male
11284,1967-09-24,Female
11285,1973-03-15,Male
11286,1967-08-31,Male
11287,1966-07-16,Male
11288,1978-03-12,Female
11289,1972-03-03,Female
11290,1972-08-14,Female
11291,1972-05-01,Female
11292,1967-05-05,Male
11293,1960-11-23,Male
11294,1961-03-02,Male
11295,1959-11-13,Female
11296,1941-04-05,Female
11297,1940-08-01,Male
11298,1940-08-30,Male
11299,1941-09-29,Male
11300,1965-08-31,Male
11301,1965-12-07,Male
11302,1971-12-09,Male
11303,1966-04-10,Female
11304,1971-03-14,Female
11305,1965-12-17,Male
11306,1965-12-20,Male
11307,1965-10-31,Male
11308,1959-09-02,Male
11309,1959-12-10,Female
11310,1964-07-05,Female
11311,1959-02-21,Female
11312,1958-10-01,Female
11313,1958-08-27,Male
11314,1970-06-16,Female
11315,1959-03-31,Female
11316,1959-05-17,Male
11317,1963-09-14,Female
11318,1958-04-25,Female
11319,1948-04-23,Female
11320,1942-12-24,Female
11321,1944-01-05,Male
11322,1943-09-12,Female
11323,1943-12-18,Male
11324,1944-11-10,Male
11325,1944-12-29,Male
11326,1944-12-23,Male
11327,1945-09-01,Male
11328,1945-06-30,Male
11329,1946-01-22,Male
11330,1945-11-10,Male
11331,1974-01-03,Female
11332,1968-04-02,Female
11333,1968-01-07,Female
11334,1966-09-19,Female
11335,1977-12-18,Female
11336,1973-03-08,Male
11337,1967-03-21,Male
11338,1972-08-06,Male
11339,1967-01-05,Male
11340,1947-04-03,Female
11341,1942-02-18,Male
11342,1973-03-07,Male
11343,1975-03-09,Male
11344,1963-01-21,Female
11345,1962-09-09,Female
11346,1966-05-18,Female
11347,1972-06-17,Male
11348,1961-03-21,Male
11349,1965-08-30,Female
11350,1942-07-14,Female
11351,1950-04-02,Female
11352,1945-09-04,Male
11353,1946-12-09,Female
11354,1947-08-23,Female
11355,1948-06-26,Male
11356,1985-11-24,Male
11357,1984-09-19,Male
11358,1984-05-10,Female
11359,1984-03-03,Male
11360,1984-01-30,Male
11361,1982-10-26,Female
11362,1983-05-11,Male
11363,1983-04-19,Male
11364,1985-03-22,Female
11365,1984-12-06,Female
11366,1985-04-23,Female
11367,1984-08-21,Male
11368,1984-05-24,Male
11369,1984-02-01,Female
11370,1983-09-29,Female
11371,1983-11-24,Female
11372,1983-11-12,Female
11373,1954-09-16,Female
11374,1948-12-25,Male
11375,1948-11-05,Male
11376,1948-12-07,Male
11377,1966-08-23,Male
11378,1965-11-19,Female
11379,1976-05-13,Male
11380,1964-08-29,Male
11381,1970-08-18,Female
11382,1974-07-15,Male
11383,1966-02-25,Female
11384,1971-10-13,Female
11385,1971-08-08,Male
11386,1971-11-02,Female
11387,1964-11-29,Female
11388,1965-01-20,Male
11389,1981-04-20,Male
11390,1976-04-17,Female
11391,1976-06-25,Female
11392,1981-02-03,Male
11393,1974-07-17,Male
11394,1975-04-22,Male
11395,1976-04-16,Female
11396,1975-04-04,Male
11397,1974-12-02,Female
11398,1975-03-09,Male
11399,1975-02-01,Female
11400,1980-04-15,Male
11401,1975-02-23,Female
11402,1975-05-20,Female
11403,1980-01-06,Female
11404,1957-06-30,Female
11405,1957-08-16,Female
11406,1957-12-31,Female
11407,1957-09-30,Male
11408,1964-05-10,Male
11409,1979-03-02,Female
11410,2042-02-22,Male
11411,1959-08-12,Male
11412,1959-10-07,Female
11413,1959-10-13,Female
11414,1959-09-15,Male
11415,1949-12-03,Male
11416,1950-09-16,Female
11417,1950-08-26,Female
11418,1950-08-09,Male
11419,1950-08-18,Male
11420,1952-01-09,Male
11421,1952-01-16,Female
11422,1952-02-29,Male
11423,1960-05-04,Female
11424,1964-12-03,Female
11425,1965-08-02,Female
11426,1959-04-01,Male
11427,1959-06-17,Female
11428,1959-02-19,Female
11429,1958-01-13,Male
11430,1957-09-21,Female
11431,1974-10-20,Male
11432,1957-03-10,Female
11433,1957-03-01,Male
11434,1962-05-02,Male
11435,1955-09-03,Female
11436,1956-03-17,Female
11437,1955-06-16,Male
11438,1955-04-13,Female
11439,1953-11-14,Female
11440,1953-03-26,Male
11441,1952-12-09,Female
11442,1953-05-13,Male
11443,1981-11-19,Female
11444,1981-10-26,Female
11445,1980-01-18,Female
11446,1980-02-09,Female
11447,1980-02-13,Female
11448,1980-10-25,Male
11449,1980-08-01,Male
11450,1981-05-11,Male
11451,1980-05-08,Male
11452,1979-05-05,Female
11453,1984-08-17,Male
11454,1979-10-20,Female
11455,1979-10-19,Male
11456,1980-01-05,Male
11457,1978-11-18,Female
11458,1978-10-03,Female
11459,1978-04-12,Female
11460,1983-10-04,Male
11461,1977-09-22,Male
11462,1977-07-18,Female
11463,1977-09-09,Female
11464,1977-05-15,Male
11465,1976-08-18,Male
11466,1977-01-30,Male
11467,1975-04-06,Male
11468,1980-12-15,Female
11469,1978-10-14,Male
11470,1979-03-25,Male
11471,1979-03-25,Female
11472,1968-09-30,Male
11473,1986-01-30,Female
11474,1985-08-21,Male
11475,1984-04-07,Male
11476,1980-05-16,Female
11477,1984-06-21,Male
11478,1984-02-22,Male
11479,1978-10-20,Male
11480,1984-03-07,Female
11481,1978-11-20,Female
11482,1978-01-16,Female
11483,1983-05-19,Male
11484,1983-03-03,Male
11485,1978-02-04,Male
11486,1982-05-21,Female
11487,1977-01-05,Female
11488,1977-03-20,Male
11489,1976-09-03,Female
11490,1976-07-05,Male
11491,1982-04-02,Male
11492,1982-11-15,Male
11493,1976-05-31,Female
11494,1976-01-25,Male
11495,1977-03-03,Male
11496,1976-04-15,Male
11497,1981-11-22,Female
11498,1979-07-15,Male
11499,1980-05-13,Male
11500,1980-03-17,Female
11501,1981-01-03,Female
11502,1980-09-03,Male
11503,1936-04-11,Male
11504,1936-10-17,Female
11505,1972-01-04,Female
11506,1971-11-14,Male
11507,1972-05-19,Female
11508,1972-01-04,Female
11509,1964-07-22,Female
11510,1959-01-10,Male
11511,1964-06-10,Male
11512,1976-08-05,Female
11513,1965-09-23,Female
11514,1965-04-16,Male
11515,1959-08-25,Female
11516,1976-10-13,Female
11517,1959-12-18,Female
11518,1960-11-06,Male
11519,1960-09-13,Male
11520,1960-10-08,Female
11521,1977-12-01,Female
11522,1972-06-17,Male
11523,1962-02-07,Male
11524,1961-07-22,Female
11525,1961-07-08,Female
11526,1973-01-30,Female
11527,1961-12-02,Female
11528,1968-08-15,Female
11529,1963-05-16,Male
11530,1963-01-23,Male
11531,1962-07-07,Female
11532,1962-08-26,Female
11533,1968-07-17,Female
11534,1964-05-12,Male
11535,1963-12-31,Male
11536,1969-04-13,Male
11537,1963-09-21,Male
11538,1965-02-24,Female
11539,1970-08-18,Male
11540,1970-01-24,Male
11541,1964-10-09,Male
11542,1979-09-07,Male
11543,1973-08-16,Female
11544,1979-05-04,Male
11545,1973-09-22,Male
11546,1973-09-11,Female
11547,1979-03-05,Female
11548,1974-04-11,Male
11549,1979-09-03,Female
11550,1979-08-05,Female
11551,2050-05-21,Male
11552,1972-11-23,Male
11553,1973-03-08,Female
11554,1932-03-27,Female
11555,1937-07-04,Female
11556,1972-11-10,Male
11557,1972-07-14,Female
11558,1973-02-18,Male
11559,1978-12-12,Male
11560,1978-08-09,Female
11561,1972-01-21,Female
11562,2038-10-17,Male
11563,1971-08-01,Male
11564,1972-01-09,Male
11565,1971-12-30,Male
11566,1973-03-01,Female
11567,1978-09-19,Female
11568,1972-04-21,Female
11569,1977-05-06,Male
11570,1971-07-22,Female
11571,1971-11-15,Male
11572,1977-03-11,Male
11573,1976-11-11,Female
11574,1971-01-14,Female
11575,1970-10-19,Male
11576,1970-08-10,Male
11577,1971-04-21,Female
11578,1970-05-08,Female
11579,1981-02-13,Male
11580,1939-03-12,Male
11581,2045-03-03,Female
11582,1974-04-09,Female
11583,1971-03-26,Female
11584,1971-05-22,Male
11585,1976-03-04,Female
11586,1971-06-14,Male
11587,1975-10-18,Male
11588,1970-01-11,Female
11589,1975-05-01,Female
11590,1980-04-12,Female
11591,1968-11-12,Female
11592,1984-03-03,Male
11593,1982-09-22,Male
11594,1985-05-03,Male
11595,1984-12-29,Male
11596,1969-03-02,Male
11597,1983-08-06,Female
11598,1983-12-30,Female
11599,1983-03-16,Female
11600,1982-10-05,Female
11601,1983-02-18,Male
11602,1982-10-11,Male
11603,1982-08-06,Male
11604,1982-12-01,Male
11605,1982-05-20,Female
11606,1986-01-30,Female
11607,1986-05-05,Male
11608,1981-09-01,Male
11609,1981-12-24,Male
11610,1980-10-20,Male
11611,1985-02-23,Male
11612,1985-10-07,Male
11613,1981-05-02,Female
11614,1981-02-13,Female
11615,1981-05-20,Male
11616,1980-09-05,Female
11617,1964-10-01,Male
11618,1964-10-21,Male
11619,1978-10-29,Female
11620,1978-10-18,Female
11621,1978-08-19,Female
11622,1979-06-16,Male
11623,1978-12-25,Female
11624,1984-03-19,Male
11625,1978-07-19,Male
11626,1978-12-12,Female
11627,1978-08-27,Male
11628,1977-11-14,Female
11629,1976-08-07,Male
11630,1977-06-23,Female
11631,1976-08-12,Male
11632,1982-05-02,Female
11633,1977-11-23,Male
11634,1977-12-10,Male
11635,1983-08-11,Male
11636,1978-06-21,Female
11637,1983-08-11,Female
11638,1977-09-09,Male
11639,1978-06-22,Female
11640,1975-10-31,Female
11641,1976-02-09,Male
11642,1976-06-24,Female
11643,1976-01-24,Female
11644,1975-04-06,Male
11645,1975-04-18,Female
11646,1980-03-15,Female
11647,1975-03-22,Male
11648,1980-04-12,Male
11649,1980-01-23,Male
11650,1975-01-23,Male
11651,1982-12-13,Female
11652,1982-05-01,Male
11653,1982-06-04,Female
11654,1977-03-18,Female
11655,1982-03-28,Female
11656,1977-03-19,Female
11657,1976-10-31,Female
11658,1985-08-03,Male
11659,1974-10-20,Male
11660,1980-01-19,Female
11661,1981-01-03,Male
11662,1976-01-01,Male
11663,1975-08-25,Male
11664,1975-08-09,Female
11665,1976-06-11,Female
11666,1981-12-13,Male
11667,1972-12-18,Male
11668,1984-03-02,Female
11669,1978-10-17,Female
11670,1973-04-15,Female
11671,1971-11-15,Female
11672,1972-03-20,Male
11673,1977-02-03,Female
11674,1972-02-15,Female
11675,1977-01-29,Male
11676,1971-08-13,Male
11677,1980-10-10,Male
11678,1974-07-28,Male
11679,1974-11-05,Male
11680,1975-03-04,Female
11681,1975-02-04,Female
11682,1980-03-12,Female
11683,1974-07-05,Male
11684,1971-03-31,Male
11685,1970-08-07,Male
11686,1976-04-09,Male
11687,1976-07-09,Male
11688,1976-12-21,Female
11689,1971-03-06,Male
11690,1976-01-10,Female
11691,1974-12-30,Female
11692,1969-12-17,Male
11693,1975-09-21,Female
11694,1969-09-21,Male
11695,1969-07-10,Male
11696,1975-04-02,Female
11697,1975-06-21,Male
11698,1975-11-22,Male
11699,1968-09-12,Male
11700,1969-05-24,Male
11701,1985-08-16,Male
11702,1974-10-13,Female
11703,1973-12-22,Female
11704,1973-11-29,Male
11705,1979-05-18,Female
11706,1968-08-13,Male
11707,1969-06-20,Female
11708,1974-09-15,Female
11709,1968-08-18,Female
11710,1967-09-17,Female
11711,1973-12-04,Male
11712,1968-05-02,Female
11713,1967-09-17,Male
11714,1968-04-16,Female
11715,1968-03-20,Female
11716,1967-04-20,Male
11717,1972-08-29,Male
11718,1972-11-10,Female
11719,1971-05-05,Male
11720,1965-09-23,Female
11721,1971-01-18,Female
11722,1965-12-30,Male
11723,1973-02-17,Male
11724,1972-10-12,Male
11725,1973-03-16,Male
11726,1973-01-13,Male
11727,1973-01-05,Male
11728,1965-07-06,Male
11729,1971-05-03,Male
11730,1966-04-01,Female
11731,1966-02-16,Female
11732,1970-02-04,Male
11733,1970-07-23,Female
11734,1970-08-21,Male
11735,1964-07-21,Female
11736,1970-09-21,Male
11737,1970-02-04,Female
11738,1970-10-05,Male
11739,1964-11-10,Male
11740,1964-10-21,Female
11741,1965-01-22,Female
11742,1964-05-01,Male
11743,1974-09-09,Male
11744,1964-03-06,Female
11745,1964-04-11,Female
11746,1964-05-30,Male
11747,1963-08-09,Female
11748,1964-01-15,Male
11749,1980-09-09,Male
11750,1984-09-17,Female
11751,1976-01-14,Female
11752,1981-05-03,Female
11753,1975-09-15,Female
11754,1976-01-05,Female
11755,1973-11-12,Male
11756,1974-03-13,Female
11757,1979-05-11,Male
11758,1979-12-19,Male
11759,1980-11-18,Female
11760,1973-04-25,Female
11761,1972-10-16,Male
11762,1984-02-17,Male
11763,1972-08-10,Male
11764,1973-01-13,Female
11765,1983-04-06,Male
11766,1972-01-01,Female
11767,1977-05-20,Female
11768,1983-04-03,Male
11769,1979-02-14,Female
11770,1979-02-20,Male
11771,1979-04-07,Male
11772,1984-01-21,Male
11773,1979-01-03,Male
11774,1978-10-10,Female
11775,2050-11-22,Female
11776,1978-12-31,Male
11777,1978-01-21,Female
11778,1976-09-17,Female
11779,1977-01-15,Female
11780,1977-05-19,Female
11781,1976-09-06,Male
11782,1982-03-13,Female
11783,1982-11-13,Female
11784,1978-06-18,Male
11785,1983-02-21,Male
11786,1978-03-13,Male
11787,1978-03-05,Male
11788,1977-08-18,Female
11789,1981-02-16,Female
11790,1981-05-17,Male
11791,1975-10-19,Male
11792,1974-11-24,Female
11793,1980-03-16,Male
11794,1975-05-01,Female
11795,1974-08-15,Female
11796,1985-08-03,Female
11797,1980-03-03,Male
11798,1974-08-12,Male
11799,1980-09-09,Male
11800,1975-05-07,Female
11801,1975-03-16,Male
11802,1977-02-05,Female
11803,1977-03-11,Female
11804,1976-10-15,Female
11805,1976-09-08,Male
11806,1982-08-06,Female
11807,1977-03-03,Male
11808,1974-10-10,Male
11809,1973-07-01,Male
11810,1978-01-03,Male
11811,1978-06-11,Female
11812,1973-03-21,Male
11813,1973-05-11,Female
11814,1976-01-05,Male
11815,1981-04-20,Female
11816,1981-10-19,Male
11817,1981-11-23,Female
11818,1975-10-20,Male
11819,1973-04-08,Male
11820,1977-08-22,Female
11821,1971-10-13,Male
11822,1971-12-11,Female
11823,1977-10-20,Female
11824,1977-10-03,Female
11825,1971-11-15,Female
11826,1971-08-15,Female
11827,1980-09-16,Female
11828,1980-06-04,Female
11829,1975-05-02,Female
11830,1974-07-15,Female
11831,1975-05-24,Male
11832,1976-04-01,Female
11833,1982-01-16,Male
11834,1982-04-20,M
11835,1970-12-17,Male
11836,1970-10-25,M
11837,1976-08-05,F
11838,1970-08-09,Male
11839,1976-07-21,Male
11840,1976-05-13,Male
11841,1969-09-13,Male
11842,1970-04-03,Male
11843,1975-11-08,Female
11844,1969-10-06,Female
11845,1930-02-15,Female
11846,1969-12-13,Female
11847,1970-05-31,Female
11848,1975-02-24,Male
11849,1970-03-13,Female
11850,1980-09-16,Female
11851,1969-03-07,Female
11852,1969-04-23,Male
11853,1979-11-15,Female
11854,1973-10-16,Male
11855,1974-08-09,Male
11856,1969-02-13,Male
11857,1974-03-08,Female
11858,1968-06-05,Male
11859,1968-03-08,Male
11860,1967-07-09,Female
11861,1967-10-22,Female
11862,1972-09-11,Female
11863,1967-04-10,Female
11864,1967-03-06,Female
11865,1966-08-06,Female
11866,1966-12-30,Male
11867,1971-04-21,Male
11868,1973-01-31,Female
11869,1984-05-01,Female
11870,1978-07-10,Female
11871,1978-08-12,Male
11872,1978-07-17,Female
11873,1972-10-09,Male
11874,1978-03-06,Male
11875,1966-01-31,Male
11876,1966-05-13,Female
11877,1966-04-06,Female
11878,1971-02-04,Female
11879,1971-09-30,Male
11880,1965-02-16,Female
11881,1965-01-20,Male
11882,1975-09-05,Male
11883,1965-02-10,Female
11884,1970-04-22,Female
11885,1970-09-21,Male
11886,1963-07-20,Female
11887,1963-10-03,Male
11888,1969-12-18,Male
11889,1963-11-25,Male
11890,1964-05-14,Female
11891,1969-09-13,Female
11892,1975-04-07,Male
11893,1974-08-09,Male
11894,1980-04-30,Female
11895,1975-01-18,Male
11896,1975-05-18,Male
11897,1974-05-28,Male
11898,1975-12-31,Female
11899,1976-03-15,Female
11900,1981-03-03,Male
11901,1973-08-18,Female
11902,1972-09-14,Male
11903,1985-10-21,Female
11904,1986-05-05,Female
11905,1974-12-14,Male
11906,1972-08-17,Female
11907,1973-03-07,Female
11908,1972-01-08,Male
11909,1971-08-10,Female
11910,1971-12-10,Female
11911,1972-05-15,Female
11912,2066-06-16,Female
11913,1970-12-09,Female
11914,1979-05-05,Female
11915,9999-09-13,Male
11916,1976-09-03,Male
11917,1971-04-21,Male
11918,1969-08-31,Female
11919,1969-08-17,Male
11920,1975-02-24,Female
11921,1970-06-22,Male
11922,1985-02-13,Male
11923,1985-04-21,Female
11924,1985-04-23,Male
11925,1984-05-05,Female
11926,1983-09-15,Male
11927,1984-01-21,Female
11928,1984-03-06,Female
11929,1962-08-08,Female
11930,1952-10-31,Female
11931,1984-05-12,Male
11932,1984-02-08,Female
11933,1982-09-01,Male
11934,1983-04-13,Male
11935,1983-05-19,Female
11936,1982-10-09,Male
11937,1982-12-03,Male
11938,1983-03-21,Male
11939,1982-12-20,Male
11940,1983-01-09,Male
11941,1982-05-26,Male
11942,1954-12-11,Male
11943,1954-08-27,Female
11944,1956-04-13,Female
11945,1986-03-11,Male
11946,1956-07-02,Female
11947,1957-04-20,Female
11948,1956-10-07,Female
11949,1986-05-05,Female
11950,1985-03-09,Female
11951,1958-02-03,Female
11952,1960-03-22,Male
11953,1981-03-03,Female
11954,1981-02-13,Male
11955,1980-10-02,Male
11956,1985-08-30,Female
11957,1979-02-09,Female
11958,1978-07-06,Male
11959,1978-10-05,Female
11960,1978-12-31,Female
11961,1978-12-22,Female
11962,1982-05-28,Female
11963,1960-12-10,Male
11964,1967-02-13,Male
11965,1962-04-18,Female
11966,1967-02-13,Male
11967,1962-08-10,Female
11968,1964-04-19,Female
11969,1964-01-22,Male
11970,1984-11-12,Female
11971,1979-03-03,Female
11972,1979-09-20,Female
11973,1979-08-03,Female
11974,1979-08-07,Male
11975,1980-04-02,Female
11976,1970-05-22,Female
11977,1964-11-19,Female
11978,1977-10-18,Male
11979,1962-11-05,Male
11980,1963-06-17,Female
11981,1962-08-03,Female
11982,1962-10-02,Female
11983,1968-02-24,Female
11984,1962-12-04,Male
11985,1963-05-18,Female
11986,1969-01-20,Male
11987,1973-05-26,Female
11988,1968-02-17,Female
11989,1984-03-20,Female
11990,1968-01-12,Female
11991,1968-02-07,Male
11992,1972-06-09,Female
11993,1977-09-12,Female
11994,1977-10-18,Female
11995,1965-12-12,Male
11996,1966-01-30,Female
11997,1971-04-04,Female
11998,1966-02-07,Female
11999,1965-12-03,Male
12000,1970-09-09,Female
12001,1981-12-30,Female
12002,1969-08-05,Female
12003,1979-09-04,Female
12004,1974-12-16,Male
12005,1973-07-13,Male
12006,1973-03-12,Male
12007,1967-01-23,Female
12008,1967-02-19,Female
12009,1963-01-31,Female
12010,1962-08-26,Male
12011,1940-08-16,Female
12012,1971-10-19,Female
12013,1958-09-04,Female
12014,1954-08-09,Male
12015,1982-01-06,Male
12016,1981-06-11,Female
12017,1982-04-26,Male
12018,1986-01-30,Male
12019,1986-05-13,Female
12020,1985-03-13,Female
12021,1951-08-13,Female
12022,1986-05-22,Male
12023,1984-01-05,Male
12024,1983-12-24,Male
12025,1983-12-16,Male
12026,1984-01-14,Male
12027,1984-04-24,Female
12028,1983-05-11,Female
12029,1983-04-15,Male
12030,1982-08-05,Female
12031,1985-04-17,Male
12032,1984-11-22,Male
12033,1984-10-29,Female
12034,1946-09-11,Male
12035,1946-12-20,Male
12036,1946-08-06,Female
12037,1949-03-13,Female
12038,1949-02-06,Male
12039,1948-08-12,Male
12040,1982-02-15,Male
12041,1986-06-03,Male
12042,1981-03-26,Male
12043,1980-03-20,Male
12044,1979-11-24,Female
12045,1979-12-23,Male
12046,1980-01-15,Female
12047,1979-09-22,Female
12048,1983-05-16,Female
12049,1973-10-09,Female
12050,1978-09-10,Male
12051,1984-03-19,Male
12052,1972-11-23,Female
12053,1972-11-11,Male
12054,1973-12-02,Male
12055,1974-05-20,Female
12056,1947-12-13,Male
12057,1948-09-11,Female
12058,1948-12-30,Female
12059,1948-11-29,Male
12060,1948-10-13,Male
12061,1948-11-05,Male
12062,1949-12-02,Male
12063,1950-03-08,Male
12064,1955-10-06,Male
12065,1949-12-31,Male
12066,1950-02-09,Male
12067,1950-05-14,Male
12068,1949-11-19,Female
12069,1950-05-01,Male
12070,1950-03-03,Male
12071,1949-09-30,Male
12072,1950-02-21,Male
12073,1950-02-20,Male
12074,1961-04-22,Female
